HHid,Country,Region,Village,Latitude,Longitude,HHsizemembers,HHsizeMAE,HouseholdType,Head_EducationLevel,LandOwned,LandCultivated,LivestockHoldings,WorstFoodSecMonth,BestFoodSecMonth,NrofMonthsFoodInsecure,score_PPI,HFIAS_status,score_HDDSGoodSeason,HDDS_farmbasedGoodSeason,HDDS_purchasedGoodSeason,score_HDDSBadSeason,HDDS_farmbasedBadSeason,HDDS_purchasedBadSeason,total_income,offfarm_income,farm_income,valuefarmproduce,cropsales,valuecropproduce,valuecropconsumed,livestockprodsales,valuelivestockproduction,valuelivestockprodconsumed,FoodAvailability,FoodSelfSufficiency,TotalEnergyAvailable,FAEnergyBought,FAEnergyOffFarm,FAEnergyCropConsumption,FAEnergyCropSales,FAEnergyLivestockConsumption,FAEnergyLivestockSales,FAEnergyFarmBased,FAMarketOrientation,FALivestockOrientation,GHGEmissions,Gender_MaleControl,Gender_FemaleControl,Gender_MaleYouthControl,Gender_FemaleYouthControl,NFertInput,CropDiv,LivestockDiv
11,Kenya,Wote,SIKIA,-1.82,37.71,8,5.56,woman_single,illiterate,1.62,1.5,0,oct,feb,5,21,SeverelyFI,5,3.5,1,4,0,2.5,90,81,9,90,9,90,81,0,0,0,1133.093525,485.6115108,2299500,1314000,1182600,985500,131400,0,0,1116900,0.057142857,0,45.186336,0.013071895,0.320261438,0.026143791,0.640522876,0,4,0
12,Kenya,Wote,LOWER WEST,-1.83,37.7,8,5.93,couple,primary,0.6075,1,0,dec,feb,4,29,SeverelyFI,5,3,2,2,0,2,0,0,0,45,0,45,45,0,0,0,303.5413153,303.5413153,657000,0,0,657000,0,0,0,657000,0,0,22.593168,0,0.333333333,0,0.666666667,0,4,0
13,Kenya,Wote,LOWER WEST,-1.82,37.7,4,3.25,couple,primary,0.405,11,1.5,nov,feb,4,34,ModeratelyFI,8,4.5,3.5,6,2,4,607.8407143,303.9203571,303.9203571,711.7557143,28.7775,274.97,246.1925,275.1428571,436.7857143,161.6428571,10661.19645,3180.079964,12646844.29,8874474.429,4437237.214,3004825,420151.5,767544.8571,4017085.714,8209607.071,0.350857266,0.378326044,6164.845099,4.14E-05,6.30E-05,0.999832653,6.29E-05,0,5,3
14,Kenya,Wote,LOWER WEST,-1.82,37.7,8,6.2,couple,primary,0.405,1,0.2,sep,feb,3,27,SeverelyFI,4,1,2.5,3,0,2.5,0,0,0,156.6605,0,133.848,133.848,0,22.8125,22.8125,804.1256076,804.1256076,1819736.25,0,0,1765260,0,54476.25,0,1819736.25,0,0.029936344,1971.904424,0.163597256,0.327194513,0.169736077,0.339472154,0,4,3
15,Kenya,Wote,LOWER WEST,-1.82,37.7,9,6.29,couple,primary,2.835,5,4.32,sep,feb,4,45,SeverelyFI,8,3.5,4.5,6,0,6,1319.468333,923.6278333,395.8405,826.55,234.8775,583.17,348.2925,160.963,243.38,82.417,10611.80703,2220.911427,24363117.17,19264237.67,13484966.37,4788300,3429211.5,310579.5,2350059.8,10878150.8,0.237213952,0.109207672,41964.08371,0.009686108,0.003988672,0.010800468,0.975524751,0,6,3
16,Kenya,Wote,LOWER WEST,-1.82,37.7,6,4.68,couple,primary,3.24,4.5,1.4,nov,feb,5,42,ModeratelyFI,6,2.5,3,5,1,4,686.54,480.578,205.962,513.87,55.962,363.87,307.908,150,150,0,7479.186571,1611.323323,12775946.5,10023484,7016438.8,2712150,817045.2,40312.5,2190000,5759507.7,0.235367704,0.174571215,6822.929472,9.04E-05,1.82E-05,9.00E-05,0.999801384,0,4,2
17,Kenya,Wote,LOWER WEST,-1.82,37.7,4,2.86,woman_single,illiterate,1.215,2,0.3,n/a,feb,0,52,FoodSecure,8,NA,NA,8,1.5,6.5,45,0,45,383.0175,45,314.58,269.58,0,68.4375,68.4375,2752.206868,2122.836239,2873028.75,657000,0,2052600,657000,163428.75,0,2873028.75,0.228678533,0.056883785,1906.851286,0,0.416584516,0,0.583415484,0,5,1
18,Kenya,Wote,LOWER WEST,-1.82,37.7,5,3.93,couple,primary,1.62,2,8.2,oct,feb,4,62,MildlyFI,9,5.5,3.5,8,2,6,1180,590,590,1414.73,0,550.98,550.98,590,863.75,273.75,16766.1839,4756.005786,24050252.5,17228000,8614000,6155100,0,667152.5,8614000,15436252.5,0.358166718,0.385906655,36491.04894,0,0.454660285,0,0.545339715,0,6,5
19,Kenya,Wote,LOWER WEST,-1.82,37.7,4,3.35,couple,primary,1.215,2.5,0.5,oct,feb,4,47,ModeratelyFI,9,5,4,6,0,6,252.1875,50.4375,201.75,260.40625,141.75,189,47.25,60,71.40625,11.40625,4005.694643,994.5006134,4897963.125,3681937.5,736387.5,1188787.5,2069550,27238.125,876000,4161575.625,0.601382641,0.184410969,3107.764231,0.000393232,0.000231055,0.999142416,0.000233297,0,5,3
20,Kenya,Wote,LOWER WEST,-1.81,37.69,3,2.5,couple,primary,1.62,2,1.4,nov,feb,3,73,ModeratelyFI,9,5,4,7,0,7,5062.5,3543.75,1518.75,2025,1518.75,2025,506.25,0,0,0,89100,8100,81303750,73912500,51738750,7391250,22173750,0,0,29565000,0.272727273,0,9151.455678,0.111111111,0.222222222,0.222222222,0.444444444,0,5,1
21,Kenya,Wote,MANYANZAANI,-1.82,37.69,8,6.2,couple,secondary,4.05,4,3.72,nov,feb,2,69,MildlyFI,7,3.5,3.5,6,1.5,4.5,762.3,533.61,228.69,655.685,228.69,304.92,76.23,0,350.765,350.765,5955.969951,1037.905435,13478360,11129580,7790706,1123650,3338874,1225130,0,5687654,0.247721088,0.090896073,48964.45655,0,0.365564863,0.000158376,0.634276761,0,4,4
22,Kenya,Wote,MANYANZAANI,-1.82,37.69,6,5.03,man_single,illiterate,4.05,5,5.85,aug,may,4,69,MildlyFI,8,4,4,7,2.5,4.5,187.5,131.25,56.25,456.41,56.25,225,168.75,0,231.41,231.41,3370.400882,1879.347204,6187887.5,2737500,1916250,2463750,821250,986637.5,0,4271637.5,0.132718961,0.15944658,73325.8339,0.083316974,0.250147231,0.166633949,0.499901846,0,4,6
23,Kenya,Wote,MANYANZAANI,-1.81,37.69,8,5.56,woman_single,primary,1.62,2,2.1,oct,mar,5,31,SeverelyFI,8,5,3,5,1,4,152.0833333,106.4583333,45.625,158.75,0,67.5,67.5,45.625,91.25,45.625,1633.423261,539.2985612,3314869.167,2220416.667,1554291.667,985500,0,108952.5,666125,1760577.5,0.200950616,0.233818429,12236.03443,0,0.471805155,0,0.528194845,0,4,2
24,Kenya,Wote,SIKIA,-1.82,37.71,9,6,woman_single,illiterate,2.025,3,0.2,oct,mar,9,41,ModeratelyFI,9,4,5,5,0,5,354.1666667,247.9166667,106.25,356.51,56.25,183.87,127.62,50,172.64,122.64,3132.008371,770.8972603,6859098.333,5170833.333,3619583.333,1022625,821250,665640,730000,3239515,0.226159464,0.203472808,428.7751429,0,0.000506384,0,0.999493616,0,6,4
25,Kenya,Wote,SIKIA,-1.82,37.71,3,1.59,couple,primary,1.62,2,1.4,may,feb,3,55,FoodSecure,9,3,6,5,0,5,0,0,0,70.40625,0,59,59,0,11.40625,11.40625,1298.592444,1298.592444,753638.125,0,0,726400,0,27238.125,0,753638.125,0,0.03614218,8159.740286,0,0.486394463,0,0.513605537,0,5,2
26,Kenya,Wote,SIKIA,-1.82,37.71,6,3.96,woman_single,primary,0.405,0.75,1.7,sep,mar,5,28,ModeratelyFI,8,4.5,3.5,3,0.5,2.5,26.25,5.25,21,110.4375,21,42,21,0,68.4375,68.4375,414.2304898,149.0789747,598728.75,383250,76650,52050,306600,163428.75,0,522078.75,0.51208498,0.272959583,3635.140971,0,0.421242296,0,0.578757704,0,7,3
27,Kenya,Wote,MANYANZAANI,-1.81,37.69,8,6.43,man_single,illiterate,2.835,6,2,nov,feb,4,41,SeverelyFI,8,6,2,5,0,5,510,357,153,297,63,207,144,90,90,0,3395.976693,223.3483883,7970187.5,7446000,5212200,510750,919800,13437.5,1314000,2757987.5,0.280269442,0.166550348,12130.84457,1.14E-06,0,0.999998864,0,0,5,4
28,Kenya,Wote,MANYANZAANI,-1.81,37.69,13,9.36,woman_single,primary,2.025,3,0.3,nov,feb,4,28,SeverelyFI,7,3.5,3,4,0,4,0,0,0,69,0,69,69,0,0,0,209.5187917,209.5187917,715800,0,0,715800,0,0,0,715800,0,0,2602.468939,0,0.480273752,0,0.519726248,0,4,4
29,Kenya,Wote,KWAKATHOKA,-1.85,37.67,13,9.96,woman_single,primary,6.075,10,7.9,sep,apr,3,52,FoodSecure,9,6.5,2.5,7,1.5,5.5,1000,0,1000,2987.359375,0,54,54,1000,2933.359375,1933.359375,5322.430046,1306.365788,19349162.19,14600000,0,132300,0,4616862.188,14600000,19349162.19,0.754554634,0.993162495,93187.19502,0,0.395555327,0,0.604444673,0,5,4
30,Kenya,Wote,KWAKATHOKA,-1.85,37.68,3,1.59,couple,secondary,7.7436,10,7.7,jan,mar,3,77,ModeratelyFI,9,8,1,4,1,3,1347.145,0,1347.145,1522.235,183.0825,244.11,61.0275,1164.0625,1278.125,114.0625,34958.92263,1068.482381,20288410.75,19668317,0,334275,2673004.5,285818.75,16995312.5,20288410.75,0.969436061,0.85177353,73258.45491,2.04E-05,2.54E-06,0.999972717,4.30E-06,0,5,4
31,Kenya,Wote,KWAKATHOKA,-1.85,37.67,6,3.96,couple,primary,4.05,5,2.1,apr,feb,7,42,SeverelyFI,9,4.5,4.5,6,0,6,500,0,500,635.625,0,90,90,500,545.625,45.625,6034.974747,984.469697,8722952.5,7300000,0,1314000,0,108952.5,7300000,8722952.5,0.836872607,0.849362931,12247.33101,3.60E-06,2.98E-07,7.20E-06,0.999988902,0,6,4
32,Kenya,Wote,KYEMOLE,-1.86,37.68,4,3.25,couple,postsecondary,0.81,1.5,2.1,dec,feb,3,65,MildlyFI,9,5.5,3.5,8,1,7,1000.390625,200.078125,800.3125,1103.75,71.25,215,143.75,729.0625,888.75,159.6875,13224.3725,911.8724974,15687411.88,14605703.13,2921140.625,700375,1040250,381333.75,10644312.5,12766271.25,0.744836853,0.702833988,12298.47735,2.40E-06,9.75E-05,0.99987876,2.13E-05,0,5,2
33,Kenya,Wote,KYEMOLE,-1.86,37.68,3,2.5,couple,primary,1.62,1.5,0.7,jan,apr,4,75,ModeratelyFI,8,3.5,2.5,6,0.5,5.5,558.3,390.81,167.49,375.36625,47.49,243.96,196.47,120,131.40625,11.40625,11419.45822,2486.658219,10420255.63,8151180,5705826,2228400,693354,40675.625,1752000,4714429.625,0.23467313,0.172037586,4340.14836,3.36E-05,0.000107258,0.999746879,0.000112254,0,5,3
34,Kenya,Wote,KYEMOLE,-1.86,37.68,7,4.89,couple,primary,5.265,2,4.2,oct,feb,4,42,ModeratelyFI,8,4.5,3.5,5,0.5,4.5,2500,2250,250,539.365,0,152.49,152.49,250,386.875,136.875,21825.39569,1375.497941,38955057.5,36500000,32850000,2128200,0,326857.5,3650000,6105057.5,0.093697718,0.102088349,24479.81686,0,2.52E-05,0.999949745,2.50E-05,0,6,3
35,Kenya,Wote,KYEMOLE,-1.86,37.68,13,9.04,couple,primary,4.05,5,4.9,dec,feb,5,29,FoodSecure,9,6,2.5,7,0,7,500.625,100.125,400.5,954,400.5,954,553.5,0,0,0,3090.510971,875.3561038,10197450,7309125,1461825,2888325,5847300,0,0,8735625,0.573408058,0,28781.62429,0,0.411717922,0,0.588282078,0,7,3
36,Kenya,Wote,KWAKATHOKA,-1.86,37.67,6,4.19,couple,secondary,17.82,11.5,5.6,n/a,feb,0,60,FoodSecure,9,5,4,9,5,4,1468.235,0,1468.235,2102.72,1172.61,1670.22,497.61,295.625,432.5,136.875,16271.35286,2254.789617,24884593.5,21436231,0,2846880,17120106,601482.5,4316125,24884593.5,0.861425805,0.197616549,33047.47385,7.28E-05,0.000159781,0.999584049,0.000183356,0,6,5
37,Kenya,Wote,KWAKATHOKA,-1.86,37.68,4,2.71,couple,primary,3.24,5,1.4,n/a,feb,0,53,MildlyFI,6,2.5,3.5,6,2.5,3.5,0,0,0,344.5,0,344.5,344.5,0,0,0,3094.980539,3094.980539,3061400,0,0,3061400,0,0,0,3061400,0,0,8258.574966,0,0.348389153,0,0.651610847,0,4,3
38,Kenya,Wote,KYEMOLE,-1.85,37.68,5,3.93,couple,primary,2.025,2,2.1,oct,feb,6,48,ModeratelyFI,8,2.5,5.5,7,0.333333333,6.333333333,5000,4500,500,558.75,0,58.75,58.75,500,500,0,51488.54962,597.9643766,73857750,7.30E+07,65700000,857750,0,0,7300000,8157750,0.098838646,0.098838646,12231.64131,0,2.35E-06,0.99999295,4.70E-06,0,3,3
39,Kenya,Wote,KYEMOLE,-1.87,37.69,4,3.35,couple,postsecondary,4.05,4,0.6,nov,feb,3,57,MildlyFI,7,2.5,4.5,6,2,4,2100,1890,210,312.1875,0,33.75,33.75,210,278.4375,68.4375,25611.26866,536.641791,31316178.75,30660000,27594000,492750,0,163428.75,3066000,3722178.75,0.097904665,0.103123334,3644.933847,0,1.02E-05,0,0.999989809,0,4,2
40,Kenya,Wote,KYEMOLE,-1.85,37.69,2,1.85,couple,postsecondary,1.62,1.5,0.28,nov,feb,5,77,ModeratelyFI,8,3,4.5,6,1.5,4,500,450,50,165.08,0,45,45,50,120.08,70.08,12349.26324,1538.452425,8338840,7300000,6570000,657000,0,381840,730000,1768840,0.087542152,0.133332694,513.3884,6.04E-05,0.000120877,0.499849375,0.49996931,0,5,3
41,Kenya,Wote,KYEMOLE,-1.85,37.68,6,4.58,couple,primary,2.43,2.5,2.9,sep,mar,3,46,ModeratelyFI,8,3.5,4,7,2.5,4.5,603.125,422.1875,180.9375,446.25,52.5,295,242.5,128.4375,151.25,22.8125,7285.8774,2018.410151,12179801.25,8805625,6163937.5,3319700,766500,54476.25,1875187.5,6015863.75,0.216890854,0.158431465,24529.17519,0,0.00077611,0.499147802,0.500076088,0,4,3
42,Kenya,Wote,LOWER WEST,-1.83,37.7,17,14.3,man_single,primary,1.215,2,0.11,dec,feb,6,39,SeverelyFI,9,4.5,4.5,5,0,5,0,0,0,199.74,0,164.7,164.7,0,35.04,35.04,429.2250216,429.2250216,2240340,0,0,2052000,0,188340,0,2240340,0,0.084067597,1283.692577,0.357086922,0,0.642913078,0,0,4,2
43,Kenya,Wote,SIKIA,-1.82,37.72,4,2.44,couple,postsecondary,4.86,8,8.15,n/a,mar,0,71,MildlyFI,8,3.5,4.5,8,3.5,4.5,325.078125,65.015625,260.0625,681.935,126,346.21,220.21,134.0625,335.725,201.6625,9226.357933,3897.208343,8216994.375,4746140.625,949228.125,2710960,1839600,759893.75,1957312.5,7267766.25,0.462080455,0.330681284,113999.392,0,0.483920915,0,0.516079085,0,7,4
44,Kenya,Wote,SIKIA,-1.82,37.71,2,1.58,couple,secondary,3.24,4,4.98,n/a,mar,0,87,ModeratelyFI,NA,NA,NA,8,3,5,109.140625,21.828125,87.3125,322.55,87.3125,269.99,182.6775,0,52.56,52.56,6243.082409,3480.028611,3600385.625,1593453.125,318690.625,1722487.5,1274762.5,284445,0,3281695,0.354062768,0.079004037,57857.00936,0.434561521,0,0.565438479,0,0,5,4
45,Kenya,Wote,SIKIA,-1.82,37.71,2,1.6,couple,postsecondary,4.05,3,7.15,sep,apr,4,82,MildlyFI,9,5,4,9,2.5,6.5,2372.066667,1660.446667,711.62,1317.8,106.5,495.14,388.64,605.12,822.66,217.54,66598.72574,7297.059075,38893655.83,34632173.33,24242521.33,3620025,1554900,641457.5,8834752,14651134.5,0.267129736,0.243644093,86779.50427,0.231171162,0.224039426,0.231171162,0.313618251,0,5,6
46,Kenya,Wote,MANYANZAANI,-1.81,37.69,6,4.48,couple,primary,1.62,3.5,1.52,nov,mar,6,34,ModeratelyFI,9,4.5,3.5,7,0.5,5.5,1962.8,1373.96,588.84,828.73,0,213.61,213.61,588.84,615.12,26.28,19473.6546,1948.654599,31843320,28656880,20059816,3043250,0,143190,8597064,11783504,0.26998014,0.274476845,11644.54716,0,0.020000094,0,0.979999906,0,7,2
47,Kenya,Wote,KWAKATHOKA,-1.84,37.68,5,3.29,couple,primary,12.15,8,4.68,dec,mar,4,60,ModeratelyFI,9,6.5,2.5,5,0,5,1371.7,274.34,1097.36,1361.2725,399.6,549.45,149.85,697.76,811.8225,114.0625,18751.09402,2073.890369,22517251.25,20026820,4005364,2208375,5834160,282056.25,10187296,18511887.25,0.711519174,0.464948058,49002.00455,0.288943962,0.109372493,0.410964216,0.190719329,0,7,4
48,Kenya,Wote,KWAKATHOKA,-1.85,37.67,8,5.83,couple,primary,1.0125,2,0.09,nov,mar,4,31,SeverelyFI,6,5,1,4,0,4,267.2875,53.4575,213.83,441.4,118.75,346.32,227.57,95.08,95.08,0,2936.331916,1102.455415,6248367.5,3902397.5,780479.5,2345325,1733750,645,1388168,5467888,0.499637385,0.222268136,287.5906343,0,0.004430653,0,0.995569347,0,5,1
49,Kenya,Wote,KWAKATHOKA,-1.85,37.67,2,0.86,woman_single,primary,1.215,2.5,0.63,nov,mar,5,50,ModeratelyFI,9,4,5,5,0.5,4.5,297.4333333,208.2033333,89.23,218.84,59.23,188.84,129.61,30,30,0,17442.07285,3607.96432,5475066.667,4342526.667,3039768.667,1131250,864758,1290,438000,2435298,0.237943769,0.080234639,7326.003175,0,0.466112363,0,0.533887637,0,6,2
50,Kenya,Wote,KWAKATHOKA,-1.85,37.68,6,4.11,woman_single,primary,1.4175,2.75,5.45,n/a,mar,0,59,MildlyFI,8,3.5,4.5,8,3.5,4.5,426.13,0,426.13,1137.1625,248.45,845.42,596.97,177.68,291.7425,114.0625,7074.803686,2927.553078,10613266.75,6221498,0,4117452.5,3627370,274316.25,2594128,10613266.75,0.586200097,0.270269684,120644.3104,0,0.485050459,0,0.514949541,0,8,4
51,Kenya,Wote,MULAANI,-1.83,37.68,3,2.35,couple,primary,0.6075,1.25,2.46,nov,mar,5,71,MildlyFI,8,6,2,7,2,5,1538.4,1384.56,153.84,391.58625,0,190.935,190.935,153.84,200.65125,46.81125,29455.2884,3269.756485,25265273.63,22460640,20214576,2607900,0,196733.625,2246064,5050697.625,0.088899255,0.096685975,24503.57938,0,0.007833392,0,0.992166608,0,8,3
52,Kenya,Wote,MULAANI,-1.83,37.66,5,3.46,woman_single,illiterate,16.605,11,6.3,jan,feb,4,40,ModeratelyFI,9,6.5,2.5,6,0.5,5.5,1833.28125,366.65625,1466.625,1601.47,141.75,212.72,70.97,1324.875,1388.75,63.875,21608.25461,414.2517222,27289064.75,26765906.25,5353181.25,370625,2069550,152533.5,19343175,21935883.5,0.784663205,0.714414681,47289.20478,0.999999502,1.66E-07,0,3.32E-07,0,7,3
53,Kenya,Wote,MULAANI,-1.83,37.68,7,5.14,couple,literate,4.55625,4,1.4,nov,feb,2,37,SeverelyFI,7,3.5,3,6,0.5,4,1125,1012.5,112.5,304.92,112.5,304.92,192.42,0,0,0,10275.09195,1520.228133,19277100,16425000,14782500,2852100,1642500,0,0,4494600,0.085204725,0,8290.640958,0,0.366182725,0,0.633817275,0,3,3
54,Kenya,Wote,MULAANI,-1.83,37.67,5,3.34,couple,primary,5.346,6,4.6,jul,feb,6,64,FoodSecure,9,4.5,4.5,6,3,3,70.71875,35.359375,35.359375,641.4375,0,500,500,35.359375,141.4375,106.078125,7075.81069,6228.879553,8626120.813,1032493.75,516246.875,7300000,0,293627.0625,516246.875,8109873.938,0.059846933,0.093886227,63254.21691,0.001837371,0.332720876,0,0.665441752,0,5,4
55,Kenya,Wote,MULAANI,-1.83,37.67,6,4.21,couple,primary,1.215,2,2.8,dec,feb,6,61,ModeratelyFI,8,4,4,7,1.5,5.5,471.3541667,329.9479167,141.40625,244.5625,84.375,130.5,46.125,57.03125,114.0625,57.03125,5032.822346,554.3979598,7733686.458,6881770.833,4817239.583,715725,1231875,136190.625,832656.25,2916446.875,0.266953058,0.125276203,16339.71954,0,0.564202749,0,0.435797251,0,4,4
56,Kenya,Wote,SENDA,-1.87,37.65,8,5.21,woman_single,primary,3.24,7,1.7,aug,feb,8,40,ModeratelyFI,8,5.5,2.5,4,0,4,617.875,123.575,494.3,778.6,134.3,418.6,284.3,360,360,0,6657.593406,1913.83141,12660412.5,9020975,1804195,3626000,1960780,13437.5,5256000,10856217.5,0.57002724,0.416213729,8296.608043,0,2.96E-05,0,0.999970405,0,5,3
57,Kenya,Wote,MUVAU,-1.89,37.66,6,4.5,couple,primary,2.43,3,4.9,nov,feb,2,64,FoodSecure,9,7.5,1.5,6,0,6,1175.520833,822.8645833,352.65625,556.875,0,170,170,352.65625,386.875,34.21875,11598.97628,1149.902207,19051318.54,17162604.17,12013822.92,1807000,0,81714.375,5148781.25,7037495.625,0.270258525,0.274547697,28533.79795,0,3.71E-05,0.49996354,0.49999934,0,5,3
58,Kenya,Wote,MUVAU,-1.9,37.67,7,5.58,couple,primary,2.835,5,1.84,dec,feb,5,52,ModeratelyFI,9,4.5,4.5,8,0,8,148.625,29.725,118.9,251.6,67,134,67,51.9,117.6,65.7,1328.328914,262.916728,2705407.5,2169925,433985,181700,978200,353782.5,757740,2271422.5,0.641655647,0.410852154,24430.51335,0.4227191,0.049556873,0.469015679,0.058708349,0,5,4
59,Kenya,Wote,MUVAU,-1.9,37.66,6,4.31,couple,secondary,1.8225,3,2.1,nov,feb,4,45,SeverelyFI,8,3.5,4.5,5,0,5,0,0,0,20,0,20,20,0,0,0,185.6148492,185.6148492,292000,0,0,292000,0,0,0,292000,0,0,12212.18608,0.166666667,0.333333333,0.166666667,0.333333333,0,6,3
60,Kenya,Wote,SENDA,-1.87,37.65,3,2.5,couple,primary,2.835,5,2.1,dec,feb,3,62,SeverelyFI,6,3,3,4,1,3,938.75,657.125,281.625,491,7.875,126,118.125,273.75,365,91.25,16481.93699,1461.936986,15039767.5,13705750,9594025,1116112.5,114975,217905,3996750,5445742.5,0.273390197,0.280234053,12247.35843,0.20172038,0.599780629,0.00564065,0.192858341,0,7,3
61,Kenya,Wote,SENDA,-1.87,37.65,3,1.59,couple,literate,16.2,5,2.1,n/a,feb,0,53,ModeratelyFI,5,2,2.5,5,2,2.5,357.5,250.25,107.25,164.5,107.25,164.5,57.25,0,0,0,10433.96226,1440.251572,6055350,5219500,3653650,835850,1565850,0,0,2401700,0.258589512,0,24485.61641,0.333333333,0.100703606,0.465259455,0.100703606,0,5,2
